S0,rechazos_media,pct_rechazos,ic_lower,ic_upper,stock_ponderado,prob_stockout,tiempo_cero_h
0,349.451,100.0,100.0,100.0,0.0,1.0,168.0
2,73.163,20.94338704460163,15.98614297790122,25.575031511659315,1.4576118055555556,1.0,22.29123333333333
4,6.429,1.8382437038223116,0.3436426116838488,3.637479085331845,3.3261053571428576,1.0,1.83795
6,0.23,0.06551511975024497,0.0,0.5480206800256613,5.3114245039682535,0.615,0.0691
8,0.005,0.0014241159800054116,0.0,0.0,7.311658134920635,0.022,0.0013166666666666667
10,0.0,0.0,0.0,0.0,9.315712996031747,0.0,0.0
12,0.0,0.0,0.0,0.0,11.309607738095238,0.0,0.0
14,0.0,0.0,0.0,0.0,13.315033035714286,0.0,0.0
16,0.0,0.0,0.0,0.0,15.310602777777778,0.0,0.0
18,0.0,0.0,0.0,0.0,17.30837162698413,0.0,0.0
20,0.0,0.0,0.0,0.0,19.31176130952381,0.0,0.0
22,0.0,0.0,0.0,0.0,21.308051190476192,0.0,0.0
24,0.0,0.0,0.0,0.0,23.314304861111108,0.0,0.0
26,0.0,0.0,0.0,0.0,25.311354662698413,0.0,0.0
28,0.0,0.0,0.0,0.0,27.312735317460316,0.0,0.0
30,0.0,0.0,0.0,0.0,29.314717361111114,0.0,0.0
32,0.0,0.0,0.0,0.0,31.305858531746033,0.0,0.0
34,0.0,0.0,0.0,0.0,33.315324702380956,0.0,0.0
36,0.0,0.0,0.0,0.0,35.309912103174604,0.0,0.0
38,0.0,0.0,0.0,0.0,37.309908630952386,0.0,0.0
39,0.0,0.0,0.0,0.0,38.31009821428571,0.0,0.0
40,0.0,0.0,0.0,0.0,39.31135,0.0,0.0
41,0.0,0.0,0.0,0.0,40.30859007936508,0.0,0.0
42,0.0,0.0,0.0,0.0,41.31146666666667,0.0,0.0
43,0.0,0.0,0.0,0.0,42.313839186507934,0.0,0.0
44,0.0,0.0,0.0,0.0,43.3105,0.0,0.0
