S0,pct_medio,ic_lower,ic_upper,cumple,rechazos_media,stock_prom,prob_stockout,t_cero_h
0,100.0,100.0,100.0,False,389.74,0.0,1.0,168.0
5,0.45356002024226333,0.0,1.391371465713357,True,1.7766666666666666,4.2351273148148145,1.0,0.5130555555555556
10,0.0,0.0,0.0,True,0.0,9.23538029100529,0.0,0.0
15,0.0,0.0,0.0,True,0.0,14.235380291005292,0.0,0.0
20,0.0,0.0,0.0,True,0.0,19.23538029100529,0.0,0.0
25,0.0,0.0,0.0,True,0.0,24.23538029100529,0.0,0.0
30,0.0,0.0,0.0,True,0.0,29.23538029100529,0.0,0.0
35,0.0,0.0,0.0,True,0.0,34.23538029100529,0.0,0.0
61,0.0,0.0,0.0,True,0.0,60.23719603174603,0.0,0.0
62,0.0,0.0,0.0,True,0.0,61.23719603174603,0.0,0.0
63,0.0,0.0,0.0,True,0.0,62.23719603174603,0.0,0.0
64,0.0,0.0,0.0,True,0.0,63.23719603174603,0.0,0.0
65,0.0,0.0,0.0,True,0.0,64.23719603174602,0.0,0.0
68,0.0,0.0,0.0,True,0.0,67.23719603174602,0.0,0.0
75,0.0,0.0,0.0,True,0.0,74.23719603174602,0.0,0.0
